channel,height [mm],v_avg [mm/s],mdot [g/s]
18,2.3920414105467493,144.4250708844128,0.36896276129547834
17,2.5100614687803304,147.94504387698998,0.39660303261366797
16,2.4236169524425755,145.37516921847163,0.37629241785367845
15,2.466839210611453,146.6657353185531,0.38640324023508166
14,2.539048851504368,148.79686147603414,0.40349307025437525
13,2.5611776124231644,149.44386498056716,0.4087794364307697
12,2.527790359107086,148.4666020740482,0.40081233165747454
11,2.7935943060498225,156.07736014154793,0.4656659686671565
10,2.58589453251375,150.1632455813336,0.4147111452031539
9,2.6936913620187646,153.26117798321803,0.4409113164323175
8,2.7067615658363,153.63255141438137,0.4441242600390443
7,2.8102879327078623,156.54299975793413,0.46984620458514575
6,2.9994823681656424,161.72657867649463,0.5180825506457644
5,3.0939501779359433,164.2536013352567,0.5427495462951298
