frame,
0,"(236, 488)","(1133, 441)"
1,"(206, 639)","(1253, 574)"
2
3
4
5
6
7
8,"(199, 639)","(288, 633)","(402, 631)","(503, 618)","(606, 624)","(690, 609)","(810, 610)","(900, 599)","(1013, 593)","(1117, 588)","(1224, 585)","(1318, 572)","(1427, 569)","(1526, 560)"
9
9
10,"(192, 633)","(297, 627)","(390, 623)","(498, 621)","(597, 613)","(710, 607)","(811, 605)","(903, 594)","(1003, 588)","(1112, 582)","(1219, 582)","(1326, 576)","(1424, 575)","(1523, 562)","(1638, 561)"
11
12,"(192, 631)","(292, 620)","(397, 615)","(499, 615)","(603, 615)","(702, 607)","(806, 592)","(901, 596)","(1011, 581)","(1114, 582)","(1220, 572)","(1327, 573)","(1423, 565)","(1530, 560)","(1629, 558)"
13
14,"(195, 625)","(297, 619)","(391, 618)","(496, 609)","(591, 607)","(704, 598)","(802, 593)","(897, 589)","(1008, 577)","(1109, 573)","(1217, 570)","(1324, 569)","(1425, 566)","(1536, 553)","(1646, 552)"
15
16,"(190, 624)","(288, 623)","(398, 617)","(493, 611)","(598, 604)","(695, 593)","(799, 586)","(910, 574)","(1005, 576)","(1115, 563)","(1218, 567)","(1329, 564)","(1427, 552)","(1529, 532)","(1642, 543)"
17
18,"(187, 620)","(290, 616)","(392, 613)","(492, 607)","(594, 605)","(695, 594)","(799, 585)","(914, 572)","(1010, 568)","(1106, 564)","(1219, 561)","(1330, 559)","(1424, 545)","(1536, 531)","(1640, 533)"
19
20,"(184, 617)","(293, 607)","(392, 604)","(493, 597)","(606, 592)","(703, 584)","(794, 581)","(904, 569)","(1017, 565)","(1117, 574)","(1226, 564)","(1335, 550)","(1424, 540)"
21
22,"(186, 603)","(291, 593)","(388, 599)","(493, 588)","(593, 573)","(703, 573)","(808, 571)","(905, 569)","(1004, 562)","(1111, 554)","(1219, 550)","(1329, 544)","(1436, 533)","(1543, 536)"
23
24,"(188, 592)","(285, 599)","(388, 591)","(494, 576)","(599, 568)","(699, 561)","(800, 555)","(904, 552)","(1006, 537)","(1104, 536)","(1208, 540)","(1328, 536)","(1429, 520)","(1541, 515)"
25
26,"(191, 569)","(282, 561)","(395, 573)","(490, 564)","(592, 551)","(698, 558)","(798, 544)","(900, 537)","(1000, 531)","(1113, 529)","(1216, 522)","(1316, 511)","(1427, 513)","(1545, 503)"
27
28
29,"(197, 551)","(277, 545)","(390, 560)","(486, 559)","(592, 555)","(692, 555)","(803, 546)","(898, 530)","(992, 529)","(1117, 516)","(1255, 483)"
30
